2023222	2 6 5	115677042	2023-08-20
2023221	5 0 3	120900982	2023-08-19
2023220	5 8 7	121488892	2023-08-18
2023219	3 4 8	114612744	2023-08-17
2023218	0 7 1	114828406	2023-08-16
2023217	8 1 1	116455862	2023-08-15
2023216	1 8 7	117580436	2023-08-14
2023215	3 0 8	114235628	2023-08-13
2023214	5 2 2	114987180	2023-08-12
2023213	7 3 2	114687600	2023-08-11
2023212	4 4 4	115536130	2023-08-10
2023211	6 1 2	115882558	2023-08-09
2023210	6 8 1	111924686	2023-08-08
2023209	7 9 6	112404720	2023-08-07
2023208	6 9 2	110413318	2023-08-06
2023207	2 4 2	109054688	2023-08-05
2023206	2 2 2	118332874	2023-08-04
2023205	1 7 1	114439394	2023-08-03
2023204	1 3 3	121152498	2023-08-02
2023203	3 4 6	120499968	2023-08-01
2023202	6 4 8	123312916	2023-07-31
2023201	1 7 2	118262686	2023-07-30
2023200	3 1 4	117510312	2023-07-29
2023199	8 5 0	118185236	2023-07-28
2023198	4 9 8	120463528	2023-07-27
2023197	5 8 6	118217520	2023-07-26
2023196	9 8 5	111961942	2023-07-25
2023195	3 0 3	113237186	2023-07-24
2023194	1 6 8	107710768	2023-07-23
2023193	1 8 1	108272438	2023-07-22
2023192	2 1 2	116947408	2023-07-21
2023191	7 6 8	113695702	2023-07-20
2023190	9 0 5	115007134	2023-07-19
2023189	3 2 7	111339356	2023-07-18
2023188	2 8 0	111300466	2023-07-17
2023187	5 1 3	108306116	2023-07-16
2023186	1 4 5	105562738	2023-07-15
2023185	6 6 7	110467322	2023-07-14
2023184	7 3 0	105500036	2023-07-13
2023183	0 6 6	109997200	2023-07-12
2023182	7 0 2	109156634	2023-07-11
2023181	5 6 7	105229902	2023-07-10
2023180	9 3 2	101802612	2023-07-09
2023179	7 3 7	102506150	2023-07-08
2023178	0 3 0	106528958	2023-07-07
2023177	1 1 9	102252330	2023-07-06
2023176	8 8 8	113293298	2023-07-05
2023175	1 9 0	114521748	2023-07-04
2023174	6 6 5	121479932	2023-07-03
2023173	7 3 0	119854694	2023-07-02
2023172	2 4 5	118246136	2023-07-01
2023171	7 5 1	122108996	2023-06-30
2023170	4 2 7	116053516	2023-06-29
2023169	1 8 2	116639428	2023-06-28
2023168	0 5 7	112774942	2023-06-27
2023167	2 1 6	110517400	2023-06-26
2023166	5 5 7	109169276	2023-06-25
2023165	3 3 7	111344450	2023-06-24
2023164	8 9 1	111091818	2023-06-23
2023163	1 2 4	101075998	2023-06-22
2023162	0 2 2	110951482	2023-06-21
2023161	3 1 4	110244552	2023-06-20
2023160	4 2 2	117106462	2023-06-19
2023159	8 0 2	116495226	2023-06-18
2023158	7 5 0	113191690	2023-06-17
2023157	0 2 9	117395630	2023-06-16
2023156	6 8 9	116007654	2023-06-15
2023155	2 8 5	113428120	2023-06-14
2023154	6 0 2	111367206	2023-06-13
2023153	0 6 5	117068456	2023-06-12
2023152	1 6 5	106650386	2023-06-11
2023151	3 3 9	108437334	2023-06-10
2023150	2 4 7	107705960	2023-06-09
2023149	9 2 2	109157412	2023-06-08
2023148	9 5 9	118070404	2023-06-07
2023147	9 7 0	114553846	2023-06-06
2023146	9 4 2	116200938	2023-06-05
2023145	2 0 6	113176404	2023-06-04
2023144	5 6 3	111578688	2023-06-03
2023143	4 9 5	116872342	2023-06-02
2023142	7 1 1	114386416	2023-06-01
2023171	7 5 1	122108996	2023-06-30
2023170	4 2 7	116053516	2023-06-29
2023169	1 8 2	116639428	2023-06-28
2023168	0 5 7	112774942	2023-06-27
2023167	2 1 6	110517400	2023-06-26
2023166	5 5 7	109169276	2023-06-25
2023165	3 3 7	111344450	2023-06-24
2023164	8 9 1	111091818	2023-06-23
2023163	1 2 4	101075998	2023-06-22
2023162	0 2 2	110951482	2023-06-21
2023161	3 1 4	110244552	2023-06-20
2023160	4 2 2	117106462	2023-06-19
2023159	8 0 2	116495226	2023-06-18
2023158	7 5 0	113191690	2023-06-17
2023157	0 2 9	117395630	2023-06-16
2023156	6 8 9	116007654	2023-06-15
2023155	2 8 5	113428120	2023-06-14
2023154	6 0 2	111367206	2023-06-13
2023153	0 6 5	117068456	2023-06-12
2023152	1 6 5	106650386	2023-06-11
2023151	3 3 9	108437334	2023-06-10
2023150	2 4 7	107705960	2023-06-09
2023149	9 2 2	109157412	2023-06-08
2023148	9 5 9	118070404	2023-06-07
2023147	9 7 0	114553846	2023-06-06
2023146	9 4 2	116200938	2023-06-05
2023145	2 0 6	113176404	2023-06-04
2023144	5 6 3	111578688	2023-06-03
2023143	4 9 5	116872342	2023-06-02
2023142	7 1 1	114386416	2023-06-01
2023171	7 5 1	122108996	2023-06-30
2023170	4 2 7	116053516	2023-06-29
2023169	1 8 2	116639428	2023-06-28
2023168	0 5 7	112774942	2023-06-27
2023167	2 1 6	110517400	2023-06-26
2023166	5 5 7	109169276	2023-06-25
2023165	3 3 7	111344450	2023-06-24
2023164	8 9 1	111091818	2023-06-23
2023163	1 2 4	101075998	2023-06-22
2023162	0 2 2	110951482	2023-06-21
2023161	3 1 4	110244552	2023-06-20
2023160	4 2 2	117106462	2023-06-19
2023159	8 0 2	116495226	2023-06-18
2023158	7 5 0	113191690	2023-06-17
2023157	0 2 9	117395630	2023-06-16
2023156	6 8 9	116007654	2023-06-15
2023155	2 8 5	113428120	2023-06-14
2023154	6 0 2	111367206	2023-06-13
2023153	0 6 5	117068456	2023-06-12
2023152	1 6 5	106650386	2023-06-11
2023151	3 3 9	108437334	2023-06-10
2023150	2 4 7	107705960	2023-06-09
2023149	9 2 2	109157412	2023-06-08
2023148	9 5 9	118070404	2023-06-07
2023147	9 7 0	114553846	2023-06-06
2023146	9 4 2	116200938	2023-06-05
2023145	2 0 6	113176404	2023-06-04
2023144	5 6 3	111578688	2023-06-03
2023143	4 9 5	116872342	2023-06-02
2023142	7 1 1	114386416	2023-06-01
2023171	7 5 1	122108996	2023-06-30
2023170	4 2 7	116053516	2023-06-29
2023169	1 8 2	116639428	2023-06-28
2023168	0 5 7	112774942	2023-06-27
2023167	2 1 6	110517400	2023-06-26
2023166	5 5 7	109169276	2023-06-25
2023165	3 3 7	111344450	2023-06-24
2023164	8 9 1	111091818	2023-06-23
2023163	1 2 4	101075998	2023-06-22
2023162	0 2 2	110951482	2023-06-21
2023161	3 1 4	110244552	2023-06-20
2023160	4 2 2	117106462	2023-06-19
2023159	8 0 2	116495226	2023-06-18
2023158	7 5 0	113191690	2023-06-17
2023157	0 2 9	117395630	2023-06-16
2023156	6 8 9	116007654	2023-06-15
2023155	2 8 5	113428120	2023-06-14
2023154	6 0 2	111367206	2023-06-13
2023153	0 6 5	117068456	2023-06-12
2023152	1 6 5	106650386	2023-06-11
2023151	3 3 9	108437334	2023-06-10
2023150	2 4 7	107705960	2023-06-09
2023149	9 2 2	109157412	2023-06-08
2023148	9 5 9	118070404	2023-06-07
2023147	9 7 0	114553846	2023-06-06
2023146	9 4 2	116200938	2023-06-05
2023145	2 0 6	113176404	2023-06-04
2023144	5 6 3	111578688	2023-06-03
2023143	4 9 5	116872342	2023-06-02
2023142	7 1 1	114386416	2023-06-01
2023171	7 5 1	122108996	2023-06-30
2023170	4 2 7	116053516	2023-06-29
2023169	1 8 2	116639428	2023-06-28
2023168	0 5 7	112774942	2023-06-27
2023167	2 1 6	110517400	2023-06-26
2023166	5 5 7	109169276	2023-06-25
2023165	3 3 7	111344450	2023-06-24
2023164	8 9 1	111091818	2023-06-23
2023163	1 2 4	101075998	2023-06-22
2023162	0 2 2	110951482	2023-06-21
2023161	3 1 4	110244552	2023-06-20
2023160	4 2 2	117106462	2023-06-19
2023159	8 0 2	116495226	2023-06-18
2023158	7 5 0	113191690	2023-06-17
2023157	0 2 9	117395630	2023-06-16
2023156	6 8 9	116007654	2023-06-15
2023155	2 8 5	113428120	2023-06-14
2023154	6 0 2	111367206	2023-06-13
2023153	0 6 5	117068456	2023-06-12
2023152	1 6 5	106650386	2023-06-11
2023151	3 3 9	108437334	2023-06-10
2023150	2 4 7	107705960	2023-06-09
2023149	9 2 2	109157412	2023-06-08
2023148	9 5 9	118070404	2023-06-07
2023147	9 7 0	114553846	2023-06-06
2023146	9 4 2	116200938	2023-06-05
2023145	2 0 6	113176404	2023-06-04
2023144	5 6 3	111578688	2023-06-03
2023143	4 9 5	116872342	2023-06-02
2023142	7 1 1	114386416	2023-06-01
2023171	7 5 1	122108996	2023-06-30
2023170	4 2 7	116053516	2023-06-29
2023169	1 8 2	116639428	2023-06-28
2023168	0 5 7	112774942	2023-06-27
2023167	2 1 6	110517400	2023-06-26
2023166	5 5 7	109169276	2023-06-25
2023165	3 3 7	111344450	2023-06-24
2023164	8 9 1	111091818	2023-06-23
2023163	1 2 4	101075998	2023-06-22
2023162	0 2 2	110951482	2023-06-21
2023161	3 1 4	110244552	2023-06-20
2023160	4 2 2	117106462	2023-06-19
2023159	8 0 2	116495226	2023-06-18
2023158	7 5 0	113191690	2023-06-17
2023157	0 2 9	117395630	2023-06-16
2023156	6 8 9	116007654	2023-06-15
2023155	2 8 5	113428120	2023-06-14
2023154	6 0 2	111367206	2023-06-13
2023153	0 6 5	117068456	2023-06-12
2023152	1 6 5	106650386	2023-06-11
2023151	3 3 9	108437334	2023-06-10
2023150	2 4 7	107705960	2023-06-09
2023149	9 2 2	109157412	2023-06-08
2023148	9 5 9	118070404	2023-06-07
2023147	9 7 0	114553846	2023-06-06
